group,names,scores,logfoldchanges,pvals,pvals_adj
2,ENSG00000204172,0.46308503,0.9658154,0.6433034327269473,0.9952848817767128
2,ENSG00000104848,0.46284065,1.1528045,0.64347859856414,0.9952848817767128
2,ENSG00000196757,0.46161878,0.9184791,0.6443547247852206,0.9952848817767128
2,ENSG00000125378,0.4606413,0.42851532,0.6450559817103774,0.9952848817767128
2,ENSG00000178950,0.46039692,0.0075403247,0.6452313453102638,0.9952848817767128
2,ENSG00000183474,0.46039692,0.070391215,0.6452313453102638,0.9952848817767128
2,ENSG00000136098,0.45770884,0.49486023,0.6471616453334835,0.9952848817767128
2,ENSG00000251022,0.454532,-0.08484399,0.6494459719627059,0.9952848817767128
2,ENSG00000007047,0.454532,0.44515276,0.6494459719627059,0.9952848817767128
2,ENSG00000025770,0.4535545,-0.09865961,0.6501495066288349,0.9952848817767128
2,ENSG00000118971,0.45331013,0.4483885,0.6503254390626536,0.9952848817767128
2,ENSG00000151779,0.4501333,0.089676306,0.6526143312705146,0.9952848817767128
2,ENSG00000100207,0.44768956,0.38197818,0.6543772474094056,0.9952848817767128
2,ENSG00000083838,0.44695646,0.31421787,0.6549064989325853,0.9952848817767128
2,ENSG00000169249,0.44182464,0.24121764,0.6586161033858027,0.9952848817767128
2,ENSG00000174640,0.44084716,1.4208719,0.6593236518288054,0.9952848817767128
2,ENSG00000119865,0.4403584,3.359541,0.6596775404460442,0.9952848817767128
2,ENSG00000163520,0.4403584,3.0911298,0.6596775404460442,0.9952848817767128
2,ENSG00000198331,0.4396253,-0.106871024,0.6602085161749964,0.9952848817767128
2,ENSG00000142252,0.43840343,-0.19775224,0.6610938559631172,0.9952848817767128
2,ENSG00000185591,0.43840343,-0.11652499,0.6610938559631172,0.9952848817767128
2,ENSG00000129353,0.43840343,0.24796276,0.6610938559631172,0.9952848817767128
2,ENSG00000198556,0.4379147,0.5382507,0.6614481247631616,0.9952848817767128
2,ENSG00000172375,0.4379147,0.9729149,0.6614481247631616,0.9952848817767128
2,ENSG00000096717,0.4379147,0.043751724,0.6614481247631616,0.9952848817767128
2,ENSG00000181754,0.43742594,1.2349488,0.6618024693948371,0.9952848817767128
2,ENSG00000198960,0.43718156,-0.1719331,0.6619796701261544,0.9952848817767128
2,ENSG00000134815,0.43547097,0.4440262,0.6632206048685094,0.9952848817767128
2,ENSG00000180616,0.43498224,0.7974896,0.6635753276308911,0.9952848817767128
2,ENSG00000274180,0.433516,0.64147705,0.66463994816483,0.9952848817767128
2,ENSG00000152422,0.43302724,0.157072,0.6649949721957946,0.9952848817767128
2,ENSG00000178996,0.4327829,-0.18128906,0.6651725123949818,0.9952848817767128
2,ENSG00000185024,0.42936167,0.05673451,0.6676600429111741,0.9952848817767128
2,ENSG00000163131,0.42716232,-0.115227655,0.6692611021304935,0.9952848817767128
2,ENSG00000182979,0.42520735,-0.24731885,0.6706855294234706,0.9952848817767128
2,ENSG00000099991,0.42276362,0.103302635,0.672467728826363,0.9952848817767128
2,ENSG00000196227,0.4212974,0.16706505,0.6735379332693934,0.9952848817767128
2,ENSG00000160678,0.41934243,0.1718149,0.6749659008736177,0.9952848817767128
2,ENSG00000100439,0.41934243,0.24709427,0.6749659008736177,0.9952848817767128
2,ENSG00000050748,0.4176318,0.046116184,0.676216333376956,0.9952848817767128
2,ENSG00000180979,0.4159212,0.19625969,0.6774676595116773,0.9952848817767128
2,ENSG00000168781,0.41543245,1.4368322,0.6778253449776137,0.9952848817767128
2,ENSG00000101146,0.41543245,-0.11611611,0.6778253449776137,0.9952848817767128
2,ENSG00000155511,0.41469935,2.3793066,0.6783620093392022,0.9952848817767128
2,ENSG00000089847,0.41421062,2.3701088,0.6787198762522227,0.9952848817767128
2,ENSG00000181409,0.41372186,2.420112,0.6790778156202196,0.9952848817767128
2,ENSG00000197044,0.41103378,0.763722,0.6810477741083794,0.9952848817767128
2,ENSG00000179335,0.41054502,-0.02761294,0.6814061827045927,0.9952848817767128
2,ENSG00000104218,0.40956753,-0.13505046,0.6821232155930583,0.9952848817767128
2,ENSG00000174579,0.40516883,-0.08869115,0.6853534084512183,0.9952848817767128
2,ENSG00000134294,0.40174764,0.0024008572,0.687869766974752,0.9952848817767128
2,ENSG00000198001,0.4012589,0.30222043,0.6882295298722214,0.9952848817767128
2,ENSG00000211456,0.39759332,0.010911798,0.6909299957510497,0.9952848817767128
2,ENSG00000151176,0.39734894,-0.08003135,0.6911101671852298,0.9952848817767128
2,ENSG00000120756,0.39686018,-0.2095793,0.6914705625315379,0.9952848817767128
2,ENSG00000133466,0.39441648,0.062319823,0.6932735864636419,0.9952848817767128
2,ENSG00000171700,0.39368334,0.17492187,0.6938148330979043,0.9952848817767128
2,ENSG00000108883,0.39295024,-0.060184177,0.6943562359669319,0.9952848817767128
2,ENSG00000128059,0.39123964,0.18712975,0.6956201155255233,0.9952848817767128
2,ENSG00000175189,0.39001778,1.7662818,0.6965234048677683,0.9952848817767128
2,ENSG00000165195,0.38952902,0.031736728,0.6968848412262314,0.9952848817767128
2,ENSG00000132965,0.38928467,0.14649776,0.6970655852163428,0.9952848817767128
2,ENSG00000156162,0.3890403,-0.01387632,0.6972463464014993,0.9952848817767128
2,ENSG00000165915,0.3887959,-0.18886623,0.6974271247725411,0.9952848817767128
2,ENSG00000167434,0.38855153,2.2114491,0.6976079203203053,0.9952848817767128
2,ENSG00000267107,0.3880628,2.100253,0.6979695629093357,0.9952848817767128
2,ENSG00000183018,0.3880628,1.8488966,0.6979695629093357,0.9952848817767128
2,ENSG00000008256,0.38757405,0.95125896,0.6983312740952301,0.9952848817767128
2,ENSG00000188277,0.38757405,1.7875562,0.6983312740952301,0.9952848817767128
2,ENSG00000169894,0.38708532,1.9596894,0.6986930538045815,0.9952848817767128
2,ENSG00000164106,0.38708532,1.5836978,0.6986930538045815,0.9952848817767128
2,ENSG00000113319,0.38708532,1.6750392,0.6986930538045815,0.9952848817767128
2,ENSG00000095370,0.38708532,1.6052371,0.6986930538045815,0.9952848817767128
2,ENSG00000168152,0.38708532,0.6413623,0.6986930538045815,0.9952848817767128
2,ENSG00000173391,0.38659656,0.69055593,0.699054901963936,0.9952848817767128
2,ENSG00000162723,0.38659656,1.0900114,0.699054901963936,0.9952848817767128
2,ENSG00000166016,0.38659656,0.86739516,0.699054901963936,0.9952848817767128
2,ENSG00000203999,0.38561907,0.9113826,0.6997788033386073,0.9952848817767128
2,ENSG00000128604,0.38415283,0.7889275,0.7008651669366187,0.9952848817767128
2,ENSG00000176971,0.38268661,0.79075706,0.7019521426090873,0.9952848817767128
2,ENSG00000142599,0.37975416,-0.15410253,0.704127922200527,0.9952848817767128
2,ENSG00000167992,0.37975416,0.41236886,0.704127922200527,0.9952848817767128
2,ENSG00000164182,0.37877667,-0.07344382,0.7048537215957111,0.9952848817767128
2,ENSG00000147443,0.3782879,0.4879932,0.7052167221217174,0.9952848817767128
2,ENSG00000267080,0.37779918,0.2879581,0.7055797897676339,0.9952848817767128
2,ENSG00000006459,0.3768217,-0.16945773,0.7063061261218256,0.9952848817767128
2,ENSG00000148498,0.37437797,-0.095731735,0.7081231363969236,0.9952848817767128
2,ENSG00000138646,0.3680243,0.15031268,0.7128551230629213,0.9952848817767128
2,ENSG00000067369,0.36460307,0.0270955,0.7154077148443323,0.9952848817767128
2,ENSG00000197889,0.3633812,1.6607664,0.7163201282408287,0.9952848817767128
2,ENSG00000230368,0.36289248,0.7146901,0.7166852071223334,0.9952848817767128
2,ENSG00000153237,0.361915,1.2764713,0.7174155590796821,0.9952848817767128
2,ENSG00000176024,0.36142623,1.5287606,0.7177808320039794,0.9952848817767128
2,ENSG00000162722,0.36142623,1.6712905,0.7177808320039794,0.9952848817767128
2,ENSG00000277449,0.36044875,1.3287889,0.7185115713646202,0.9952848817767128
2,ENSG00000196116,0.3602044,0.6810595,0.7186942964644459,0.9952848817767128
2,ENSG00000164136,0.35947126,0.4141929,0.7192425682352086,0.9952848817767128
2,ENSG00000177694,0.35873815,0.85759115,0.7197909845133563,0.9952848817767128
2,ENSG00000143079,0.3565388,0.46716946,0.7214370978235833,0.9952848817767128
2,ENSG00000099810,0.3558057,-0.10693547,0.7219860895616335,0.9952848817767128
2,ENSG00000010327,0.3548282,0.36184537,0.7227183012900709,0.9952848817767128
2,ENSG00000162572,0.35433945,0.66912466,0.72308450244425,0.9952848817767128
2,ENSG00000157557,0.35409507,-0.05345037,0.7232676268103784,0.9952848817767128
2,ENSG00000136854,0.35360634,0.39897963,0.7236339230728943,0.9952848817767128
2,ENSG00000196267,0.35336196,0.36838445,0.7238170949501463,0.9952848817767128
2,ENSG00000103540,0.35336196,0.3085552,0.7238170949501463,0.9952848817767128
2,ENSG00000151849,0.35262886,0.2746436,0.7243667054510092,0.9952848817767128
2,ENSG00000163734,0.35189575,-0.33434775,0.7249164580543815,0.9952848817767128
2,ENSG00000163512,0.35189575,-0.16778415,0.7249164580543815,0.9952848817767128
2,ENSG00000148908,0.3496964,-0.05869363,0.7265665658904079,0.9952848817767128
2,ENSG00000158186,0.34920764,0.22942406,0.7269334291812144,0.9952848817767128
2,ENSG00000105894,0.34823015,0.24490668,0.7276673435430385,0.9952848817767128
2,ENSG00000100109,0.34651956,-0.08318282,0.728952294531493,0.9952848817767128
2,ENSG00000135297,0.34578642,0.090655215,0.7295032212370108,0.9952848817767128
2,ENSG00000162601,0.3445646,-0.07848227,0.730421742680746,0.9952848817767128
2,ENSG00000128513,0.34383145,0.08027369,0.7309730412825247,0.9952848817767128
2,ENSG00000120318,0.33576718,1.3035066,0.7370464411273967,0.9952848817767128
